example_id                                                         | status  | run_time        |
./spec/controllers/parsers_controller_spec.rb[1:6:2]               | passed  | 0.0743 seconds  |
./spec/controllers/parsers_controller_spec.rb[1:6:3]               | passed  | 0.05653 seconds |
./spec/controllers/parsers_controller_spec.rb[1:6:4:1]             | passed  | 0.04772 seconds |
./spec/controllers/parsers_controller_spec.rb[1:6:5:1]             | passed  | 0.06483 seconds |
./spec/controllers/parsers_controller_spec.rb[1:7:1:1]             | passed  | 0.03733 seconds |
./spec/controllers/parsers_controller_spec.rb[1:7:1:2]             | passed  | 0.04359 seconds |
./spec/controllers/parsers_controller_spec.rb[1:7:2]               | passed  | 0.05054 seconds |
./spec/controllers/parsers_controller_spec.rb[1:8:1]               | passed  | 0.0356 seconds  |
./spec/controllers/partners_controller_spec.rb[1:1:1]              | passed  | 0.06031 seconds |
./spec/controllers/partners_controller_spec.rb[1:1:2]              | passed  | 0.0413 seconds  |
./spec/controllers/partners_controller_spec.rb[1:2:1]              | passed  | 0.06241 seconds |
./spec/controllers/partners_controller_spec.rb[1:2:2]              | passed  | 0.05811 seconds |
./spec/controllers/partners_controller_spec.rb[1:3:1:1]            | passed  | 0.04126 seconds |
./spec/controllers/partners_controller_spec.rb[1:3:1:2]            | passed  | 0.07105 seconds |
./spec/controllers/partners_controller_spec.rb[1:3:2:1]            | passed  | 0.101 seconds   |
./spec/controllers/partners_controller_spec.rb[1:3:2:2]            | passed  | 0.08672 seconds |
./spec/controllers/partners_controller_spec.rb[1:4:1]              | passed  | 0.05246 seconds |
./spec/controllers/partners_controller_spec.rb[1:4:2]              | passed  | 0.06542 seconds |
./spec/controllers/partners_controller_spec.rb[1:5:1:1]            | passed  | 0.02418 seconds |
./spec/controllers/partners_controller_spec.rb[1:5:1:2]            | passed  | 0.02687 seconds |
./spec/controllers/partners_controller_spec.rb[1:5:2:1]            | passed  | 0.0581 seconds  |
./spec/controllers/partners_controller_spec.rb[1:5:2:2]            | passed  | 0.05053 seconds |
./spec/controllers/previewers_controller_spec.rb[1:1:1]            | passed  | 0.03919 seconds |
./spec/controllers/previewers_controller_spec.rb[1:1:2]            | passed  | 0.04725 seconds |
./spec/controllers/previewers_controller_spec.rb[1:1:3]            | passed  | 0.05403 seconds |
./spec/controllers/previewers_controller_spec.rb[1:1:4]            | passed  | 0.05411 seconds |
./spec/controllers/previewers_controller_spec.rb[1:1:5]            | passed  | 0.05951 seconds |
./spec/controllers/previewers_controller_spec.rb[1:1:6]            | passed  | 0.0391 seconds  |
./spec/controllers/previews_controller_spec.rb[1:1:1]              | passed  | 0.16595 seconds |
./spec/controllers/snippet_versions_controller_spec.rb[1:1:1]      | passed  | 0.06486 seconds |
./spec/controllers/snippet_versions_controller_spec.rb[1:2:1]      | passed  | 0.0614 seconds  |
./spec/controllers/snippet_versions_controller_spec.rb[1:2:2]      | passed  | 0.04574 seconds |
./spec/controllers/snippet_versions_controller_spec.rb[1:3:1]      | passed  | 0.02146 seconds |
./spec/controllers/snippet_versions_controller_spec.rb[1:3:2]      | passed  | 0.02813 seconds |
./spec/controllers/snippet_versions_controller_spec.rb[1:3:3]      | passed  | 0.02356 seconds |
./spec/controllers/snippets_controller_spec.rb[1:1:1]              | passed  | 0.06169 seconds |
./spec/controllers/snippets_controller_spec.rb[1:2:1]              | passed  | 0.05016 seconds |
